,id_in_source_file,date,tags_top,title,url,body,tags_bottom,video_duration_seconds,file_key,datetime,dat,year,year_month,hour,weekday,whole newscast,body_token_final,title_token_final
0,15,2023-01-27 21:45:00,Общество,Выпуск программы «Время» в 21:00 от 27.01.2023,https://www.1tv.ru/news/2023-01-27/446104-vypusk_programmy_vremya_v_21_00_ot_27_01_2023,"Смотрите в этом выпуске: 79 лет назад была полностью снята блокада Ленинграда; в мире вспоминают жертв Холокоста; появились подробности массированного удара, который был нанесен накануне по украинским объектам; посол Латвии должен покинуть Москву в течение двух недель; глава МИД РФ Сергей Лавров завершил визит в Африку; датский ультраправый политик сжег Коран возле мечети в Копенгагене; Венгрия не допустит распространения европейских санкций на российскую ядерную энергетику, заявил премьер Виктор Орбан; в Москве вручают премии одной из главных кинонаград страны — «Золотой Орел»; экстренным службам удалось найти героя, который спас людей из горящего дома в Махачкале.",Общество,2422.0,0-15,2023-01-27 21:45:00,2023-01-27,2023,2023-01,21,4,True,"['смотреть', 'выпуск', '79', 'год', 'полностью', 'снять', 'блокада', 'ленинград', 'мир', 'вспоминать', 'жертва', 'холокост', 'появиться', 'подробность', 'массированный', 'удар', 'нанести', 'украинским', 'объект', 'посол', 'латвия', 'покинуть', 'москва', 'течение', 'два', 'неделя', 'глава', 'мид', 'рф', 'сергей', 'лавров', 'завершить', 'визит', 'африка', 'датский', 'ультраправый', 'политик', 'сжечь', 'коран', 'возле', 'мечеть', 'копенгагене', 'венгрия', 'допустить', 'распространение', 'европейский', 'санкция', 'российский', 'ядерный', 'энергетика', 'заявить', 'премьер', 'виктор', 'орбан', 'москва', 'вручать', 'премия', 'главный', 'кинонаград', 'страна', 'золотой', 'орёл', 'экстренный', 'служба', 'удаться', 'найти', 'герой', 'спасти', 'человек', 'гореть', 'дом', 'махачкала']","['выпуск', 'программа', 'время', '21:00', '27.01.2023']"
1,16,2023-01-27 21:35:00,Культура,В Москве проходит церемония вручения премии «Золотой Орел»,https://www.1tv.ru/news/2023-01-27/446121-v_moskve_prohodit_tseremoniya_vrucheniya_premii_zolotoy_orel,"Событие в мире отечественного кино. В Москве вручают премии одной из главных кинонаград страны — «Золотой Орел». Приветствие участникам и гостям церемонии направил Владимир Путин. В номинациях ленты, которые показывали на большом экране, и картины, ставшие сенсацией телеэфира. Первые победители уже известны. За происходящим внимательно следит Ольга Паутова. ","Культура,Кино,Марина Зудина,Екатерина Климова,Никита Ефремов",290.0,0-15,2023-01-27 21:35:00,2023-01-27,2023,2023-01,21,4,False,"['событие', 'мир', 'отечественный', 'кино', 'москва', 'вручать', 'премия', 'главный', 'кинонаград', 'страна', 'золотой', 'орёл', 'приветствие', 'участник', 'гость', 'церемония', 'направить', 'владимир', 'путин', 'номинация', 'лента', 'показывать', 'большой', 'экран', 'картина', 'стать', 'сенсация', 'телеэфир', 'первый', 'победитель', 'известный', 'происходить', 'внимательно', 'следить', 'ольга', 'паутова']","['москва', 'проходить', 'церемония', 'вручение', 'премия', 'золотой', 'орёл']"
2,20,2023-01-27 21:34:00,Спорт,В Туле появился новый футбольный манеж,https://www.1tv.ru/news/2023-01-27/446120-v_tule_poyavilsya_novyy_futbolnyy_manezh,"Футбольный манеж в Туле — искусственный газон 40 на 60 метров, раздевалки, административные и хозяйственные помещения. Сегодня туда приехал губернатор Алексей Дюмин, чтобы услышать мнения спортсменов и все оценить лично. Сданы или строятся и другие спортивные сооружения в рамках федерального проекта «Спорт — норма жизни». Алексей ДюминМы прекрасно понимаем, что потребность большая, и Тульская область находит возможность, правительство находит возможность привлекать  социальных партнеров для того, чтобы появлялись новые спортивные объекты в различных муниципальных образованиях. Это и ледовые открытые площадки, это и ледовые дворцы небольшого типа, это и ФОК с бассейнами, ну и другая спортивная инфраструктура, которая востребована нашими жителями. И такую работу мы будем продолжать.","Спорт,Регионы,Футбол,Алексей Дюмин,Тульская область",48.0,0-15,2023-01-27 21:34:00,2023-01-27,2023,2023-01,21,4,False,"['футбольный', 'манеж', 'тула', 'искусственный', 'газон', '40', '60', 'метр', 'раздевалка', 'административный', 'хозяйственный', 'помещение', 'сегодня', 'приехать', 'губернатор', 'алексей', 'дюмин', 'услышать', 'мнение', 'спортсмен', 'оценить', 'лично', 'сдать', 'строиться', 'спортивный', 'сооружение', 'рамка', 'федеральный', 'проект', 'спорт', 'норма', 'жизнь', 'алексей', 'дюминмы', 'прекрасно', 'понимать', 'потребность', 'больший', 'тульский', 'область', 'находить', 'возможность', 'правительство', 'находить', 'возможность', 'привлекать', ' ', 'социальный', 'партнёр', 'появляться', 'новый', 'спортивный', 'объект', 'различный', 'муниципальный', 'образование', 'ледовый', 'открытый', 'площадка', 'ледовый', 'дворец', 'небольшой', 'тип', 'фок', 'бассейн', 'спортивный', 'инфраструктура', 'востребовать', 'житель', 'работа', 'продолжать']","['тула', 'появиться', 'новый', 'футбольный', 'манеж']"
3,17,2023-01-27 21:29:00,Общество,Жителя Махачкалы наградят за спасение женщины с ребенком из горящего дома,https://www.1tv.ru/news/2023-01-27/446111-zhitelya_mahachkaly_nagradyat_za_spasenie_zhenschiny_s_rebenkom_iz_goryaschego_doma,"Жителя Махачкалы, который спас из огня женщину с ребенком, наградят по поручению главы МЧС России. Накануне вспыхнули сразу несколько квартир в разных домах, из одной не могли выбраться люди. На помощь бросился прохожий, чье имя теперь все знают, — Виталий Ивлев.","Общество,Регионы,Пожар,Республика Дагестан",229.0,0-15,2023-01-27 21:29:00,2023-01-27,2023,2023-01,21,4,False,"['житель', 'махачкала', 'спасти', 'огонь', 'женщина', 'ребёнок', 'наградить', 'поручение', 'глава', 'мчс', 'россия', 'вспыхнуть', 'квартира', 'разный', 'дом', 'выбраться', 'человек', 'помощь', 'броситься', 'прохожий', 'чей', 'имя', 'знать', 'виталий', 'ивлев']","['житель', 'махачкала', 'наградить', 'спасение', 'женщина', 'ребёнок', 'гореть', 'дом']"
4,19,2023-01-27 21:29:00,В мире,Датский политик сжег Коран в Копенгагене,https://www.1tv.ru/news/2023-01-27/446122-datskiy_politik_szheg_koran_v_kopengagene,"Опять скандал в Скандинавии. Датский ультраправый политик сжег Коран возле мечети в Копенгагене. Местные власти знали еще за сутки, но не вмешались. Первый канал из уважения к чувствам верующих снова не будет показывать горящую книгу, как и несколько дней назад, когда тот же деятель устроил то же самое в столице Швеции на акции, официально разрешенной у турецкого посольства. Она стала поводом для Анкары отменить визит главы шведского Минобороны и лично для президента Эрдогана — отозвать поддержку заявки Стокгольма на вступление в НАТО. После сегодняшнего МИД Турции вызвал датского посла.Мы самым решительным образом осуждаем новое преступление, совершенное на почве ненависти на этот раз в Дании в отношении нашей священной книги, Корана. Его совершил все тот же исламофобский шарлатан. И это уже третий случай после Швеции и Нидерландов, который не был предотвращен, несмотря на все наши предупреждения. Достигшие опасных масштабов религиозная нетерпимость и ненависть в Европе, злоупотребляющей так называемой свободой, вызывают тревогу.Рядом с турецким посольством в Копенгагене расположен консульский отдел России. В нашей дипмиссии тоже все видели. Отметили попустительство датских властей. И подчеркнули: расчет на разжигание розни религий и конфликта цивилизаций.","В мире,Религия",72.0,0-15,2023-01-27 21:29:00,2023-01-27,2023,2023-01,21,4,False,"['скандал', 'скандинавия', 'датский', 'ультраправый', 'политик', 'сжечь', 'коран', 'возле', 'мечеть', 'копенгагене', 'местный', 'власть', 'знать', 'сутки', 'вмешаться', 'первый', 'канал', 'уважение', 'чувство', 'верующих', 'показывать', 'гореть', 'книга', 'день', 'деятель', 'устроить', 'столица', 'швеция', 'акция', 'официально', 'разрешить', 'турецкий', 'посольство', 'повод', 'анкара', 'отменить', 'визит', 'глава', 'шведский', 'минобороны', 'лично', 'президент', 'эрдоган', 'отозвать', 'поддержка', 'заявка', 'стокгольм', 'вступление', 'нато', 'сегодняшний', 'мид', 'турция', 'вызвать', 'датский', 'посол', 'самым', 'решительный', 'образ', 'осуждать', 'новый', 'преступление', 'совершить', 'почва', 'ненависть', 'раз', 'дания', 'отношение', 'священный', 'книга', 'коран', 'совершить', 'исламофобский', 'шарлатан', 'третий', 'случай', 'швеция', 'нидерландов', 'предотвратить', 'несмотря', 'предупреждение', 'достигнуть', 'опасный', 'масштаб', 'религиозный', 'нетерпимость', 'ненависть', 'европа', 'злоупотреблять', 'называть', 'свобода', 'вызывать', 'тревога', 'турецкий', 'посольство', 'копенгагене', 'расположен', 'консульский', 'отдел', 'россия', 'дипмиссия', 'видеть', 'отметить', 'попустительство', 'датский', 'власть', 'подчеркнуть', 'расчёт', 'разжигание', 'рознь', 'религия', 'конфликт', 'цивилизация']","['датский', 'политик', 'сжечь', 'коран', 'копенгагене']"
5,18,2023-01-27 21:28:00,В мире,Экс-премьер Великобритании Борис Джонсон назвал «дипломатической имитацией» переговоры в «нормандском формате»,https://www.1tv.ru/news/2023-01-27/446119-eks_premier_velikobritanii_boris_dzhonson_nazval_diplomaticheskoy_imitatsiey_peregovory_v_normandskom_formate,"Борис Джонсон, экс-премьер Британии, после отставки зачастивший в Киев аж до статуса его почетного гражданина, в эфире украинского телеканала «Рада» раскрыл политических облик ряда западных коллег: «В 2014 году мы провалились. Мы не сделали всего, что могли бы сделать. Санкции на Путина надо было накладывать в 2014 году. А их ввели только в 2022 году. Это было бы серьезно. Но мы не сделали ничего. Какие-то санкции мы тогда применили, запустили эту дипломатическую имитацию — нормандский процесс — и ничего не добились».Борис Джонсон был мэром Лондона, когда появилась «нормандская четверка», и в ее работу напрямую включен не был, как и его страна. Однако дело в другом. Истинный план — дать Киеву возможность вооружиться —признали, понятно, за исключением России, остальные три участницы формата. И Украина в лице тогдашнего президента Петра Порошенко, и Германия с Францией устами экс-канцлера Ангелы Меркель и в прошлом президента Франсуа Олланда. Это просто оказалось вопросом времени.","В мире,Специальная военная операция на Украине,Борис Джонсон",60.0,0-15,2023-01-27 21:28:00,2023-01-27,2023,2023-01,21,4,False,"['борис', 'джонсон', 'экс', 'премьер', 'британия', 'отставка', 'зачастить', 'киев', 'статус', 'почётный', 'гражданин', 'эфир', 'украинского', 'телеканал', 'рада', 'раскрыть', 'политический', 'облик', 'ряд', 'западный', 'коллега', '2014', 'год', 'провалиться', 'сделать', 'сделать', 'санкция', 'путин', 'накладывать', '2014', 'год', 'ввести', '2022', 'год', 'серьёзный', 'сделать', 'санкция', 'применить', 'запустить', 'дипломатический', 'имитация', 'нормандский', 'процесс', 'добились»', 'борис', 'джонсон', 'мэр', 'лондон', 'появиться', 'нормандский', 'четвёрка', 'работа', 'включить', 'страна', 'дело', 'другом', 'истинный', 'план', 'дать', 'киев', 'возможность', 'вооружиться', 'признать', 'понятный', 'исключение', 'россия', 'остальные', 'три', 'участница', 'формат', 'украина', 'лицо', 'тогдашний', 'президент', 'пётр', 'порошенко', 'германия', 'франция', 'устами', 'экс', 'канцлер', 'ангела', 'меркель', 'прошлое', 'президент', 'франсуа', 'олланд', 'оказаться', 'вопрос', 'время']","['экс', 'премьер', 'великобритания', 'борис', 'джонсон', 'назвать', 'дипломатический', 'имитация', 'переговоры', 'нормандский', 'формат']"
6,10,2023-01-27 21:27:00,В мире,"Венгрия не допустит, чтобы санкции ЕС затронули российскую атомную энергетику",https://www.1tv.ru/news/2023-01-27/446110-vengriya_ne_dopustit_chtoby_sanktsii_es_zatronuli_rossiyskuyu_atomnuyu_energetiku,"Еще о контактах и давлении. Уже в Европе. Венгрия не допустит распространения европейских санкций на российскую ядерную энергетику, заявил премьер Виктор Орбан. Атомная отрасль упоминается в связи с 10-м санкционным пакетом, который сейчас готовит Евросоюз. У Москвы и Будапешта большой совместный проект — АЭС «Пакш», где четыре энергоблока работают уже и два «Росатом» построит еще. Плюс Венгрия не присоединяется к западной военной помощи Киеву. Тему поставок обострила танковая сделка, немецкие и еэсовские «Леопарды» Зеленскому. Взамен Европе американские «Абрамсы», три десятка которых Байден пообещал и Украине. Но не сразу и с ограничениями. Например, броня с обедненным ураном не для экспорта, она секретна. Испания ради участия в сделке снимет «Леопарды» с десятилетней консервации. А вот Хорватия отказалась. И отдельно ее президента возмутило позавчерашнее заявление из Берлина.«Мы находимся в состоянии войны с Россией? Я не знал. Возможно, Германия снова воюет с Россией, ну удачи им, если они хотят повторения того же, что и 70 лет назад... Я буду всегда выступать против участия нашей страны. Даже если это кому-то не нравится в Брюсселе. Мы не участвуем в войне», — заявил президент Хорватии Зоран Миланович.","В мире,Международные отношения,Атомная энергетика,Виктор Орбан,Зоран Миланович",74.0,0-15,2023-01-27 21:27:00,2023-01-27,2023,2023-01,21,4,False,"['контакт', 'давление', 'европа', 'венгрия', 'допустить', 'распространение', 'европейский', 'санкция', 'российский', 'ядерный', 'энергетика', 'заявить', 'премьер', 'виктор', 'орбан', 'атомный', 'отрасль', 'упоминаться', 'связь', '10-й', 'санкционный', 'пакет', 'готовить', 'евросоюз', 'москва', 'будапешт', 'большой', 'совместный', 'проект', 'аэс', 'пакш', 'четыре', 'энергоблок', 'работать', 'два', 'росатом', 'построить', 'плюс', 'венгрия', 'присоединяться', 'западный', 'военный', 'помощь', 'киев', 'тема', 'поставка', 'обострить', 'танковый', 'сделка', 'немецкий', 'еэсовские', 'леопард', 'зеленскому', 'взамен', 'европа', 'американский', 'абрамсы', 'три', 'десяток', 'байден', 'пообещать', 'украина', 'ограничение', 'броня', 'обедненным', 'уран', 'экспорт', 'секретный', 'испания', 'участие', 'сделка', 'снять', 'леопард', 'десятилетний', 'консервация', 'хорватия', 'отказаться', 'отдельно', 'президент', 'возмутить', 'позавчерашний', 'заявление', 'берлин', '«Мы', 'находиться', 'состояние', 'война', 'россия', 'знать', 'германия', 'воевать', 'россия', 'удача', 'хотеть', 'повторение', '70', 'год', 'выступать', 'против', 'участие', 'страна', 'нравиться', 'брюссель', 'участвовать', 'война', 'заявить', 'президент', 'хорватия', 'зоран', 'миланович']","['венгрия', 'допустить', 'санкция', 'ес', 'затронуть', 'российский', 'атомный', 'энергетика']"
7,14,2023-01-27 21:23:00,В мире,Итоги поездки главы МИД России по странам Африки,https://www.1tv.ru/news/2023-01-27/446112-itogi_poezdki_glavy_mid_rossii_po_stranam_afriki,"Глава МИД РФ Сергей Лавров завершил визит в Африку. Четыре страны. Заключительный пункт программы — Эритрея, это на Красном море, восточное африканское побережье. Павел Пчелкин сопровождал министра. ","В мире,Международные отношения,Дипломатия,Сергей Лавров",316.0,0-15,2023-01-27 21:23:00,2023-01-27,2023,2023-01,21,4,False,"['глава', 'мид', 'рф', 'сергей', 'лавров', 'завершить', 'визит', 'африка', 'четыре', 'страна', 'заключительный', 'пункт', 'программа', 'эритрея', 'красный', 'море', 'восточный', 'африканский', 'побережье', 'павел', 'пчёлкин', 'сопровождать', 'министр']","['итог', 'поездка', 'глава', 'мид', 'россия', 'страна', 'африка']"
8,11,2023-01-27 21:22:00,В мире,Послу Латвии предписано покинуть Россию в течение двух недель,https://www.1tv.ru/news/2023-01-27/446118-poslu_latvii_predpisano_pokinut_rossiyu_v_techenie_dvuh_nedel,"Посол Латвии должен покинуть Москву в течение двух недель. Сегодня наш МИД объявил об этом латвийской временной поверенной в делах. До этого уровня Рига понизила дипотношения с нашей странной, как там заявили, в знак солидарности с Эстонией, поступившей так в понедельник. В дипломатии так не делают, а словами о солидарности маскируется тотальная русофобия, поощряемая Соединенными Штатами и другими недружественными государствами, отметил МИД России.","Дипломатия,В мире",27.0,0-15,2023-01-27 21:22:00,2023-01-27,2023,2023-01,21,4,False,"['посол', 'латвия', 'покинуть', 'москва', 'течение', 'два', 'неделя', 'сегодня', 'мид', 'объявить', 'латвийский', 'временной', 'поверенной', 'дело', 'уровень', 'рига', 'понизить', 'дипотношения', 'странный', 'заявить', 'знак', 'солидарность', 'эстония', 'поступить', 'понедельник', 'дипломатия', 'делать', 'слово', 'солидарность', 'маскируется', 'тотальный', 'русофобия', 'поощрять', 'соединить', 'штат', 'недружественный', 'государство', 'отметить', 'мид', 'россия']","['посол', 'латвия', 'предписать', 'покинуть', 'россия', 'течение', 'два', 'неделя']"
9,13,2023-01-27 21:21:00,Политика,Владимир Путин провел совещание с постоянными участниками Совета безопасности России,https://www.1tv.ru/news/2023-01-27/446109-vladimir_putin_provel_soveschanie_s_postoyannymi_uchastnikami_soveta_bezopasnosti_rossii,"И сегодня же президент провел оперативное совещание с постоянными участниками Совета безопасности России. Владимир ПутинУ нас сегодня, коллеги, несколько важных вопросов, касающихся и внутренней повестки, и вопроса внешней границы континентального шельфа Российской Федерации в Северном Ледовитом океане. Давайте начнем работать. Пожалуйста, по первому вопросу мы пригласили сегодня для выступления Голикову Татьяну Алексеевну.","Политика,Национальная безопасность",25.0,0-15,2023-01-27 21:21:00,2023-01-27,2023,2023-01,21,4,False,"['сегодня', 'президент', 'провести', 'оперативный', 'совещание', 'постоянный', 'участник', 'совет', 'безопасность', 'россия', 'владимир', 'путину', 'сегодня', 'коллега', 'важный', 'вопрос', 'касаться', 'внутренний', 'повестка', 'вопрос', 'внешний', 'граница', 'континентальный', 'шельф', 'российский', 'федерация', 'северный', 'ледовитый', 'океан', 'начать', 'работать', 'первый', 'вопрос', 'пригласить', 'сегодня', 'выступление', 'голикову', 'татьяна', 'алексеевич']","['владимир', 'путин', 'провести', 'совещание', 'постоянный', 'участник', 'совет', 'безопасность', 'россия']"
10,12,2023-01-27 21:20:00,"Политика,Экономика",Президент утвердил перечень поручений по итогам заседания Совета по нацпроектам и стратегическому развитию,https://www.1tv.ru/news/2023-01-27/446113-prezident_utverdil_perechen_porucheniy_po_itogam_zasedaniya_soveta_po_natsproektam_i_strategicheskomu_razvitiyu,"Добиться роста реальных зарплат, снижения бедности и увеличения рождаемости и продолжительности жизни уже в этом году — такие задачи поставил перед правительством Владимир Путин по итогам заседания Совета по нацпроектам и стратегическому развитию. Документы публикует сайт Кремля. В частности, на разработку дополнительных мер по поддержке семей с детьми у кабмина есть две недели. Рост минимального размера оплаты труда должен опережать инфляцию. Что касается новых регионов, то предполагается, что уровень жизни в них достигнет среднероссийских показателей к 2030 году. Действие льготной ипотеки продлится еще на полтора года. Ставка не превысит 8%. ","Политика,Экономика",36.0,0-15,2023-01-27 21:20:00,2023-01-27,2023,2023-01,21,4,False,"['добиться', 'рост', 'реальный', 'зарплата', 'снижение', 'бедность', 'увеличение', 'рождаемость', 'продолжительность', 'жизнь', 'год', 'задача', 'поставить', 'правительство', 'владимир', 'путин', 'итог', 'заседание', 'совет', 'нацпроектам', 'стратегический', 'развитие', 'документ', 'публиковать', 'сайт', 'кремль', 'частность', 'разработка', 'дополнительный', 'мера', 'поддержка', 'семья', 'ребёнок', 'кабмин', 'два', 'неделя', 'рост', 'минимальный', 'размер', 'оплата', 'труд', 'опережать', 'инфляция', 'касаться', 'новый', 'регион', 'предполагаться', 'уровень', 'жизнь', 'достигнуть', 'среднероссийских', 'показатель', '2030', 'год', 'действие', 'льготный', 'ипотека', 'продлиться', 'полтора', 'год', 'ставка', 'превысить', '8']","['президент', 'утвердить', 'перечень', 'поручение', 'итог', 'заседание', 'совет', 'нацпроектам', 'стратегический', 'развитие']"
11,40,2023-01-27 21:19:00,Общество,Минобороны РФ сообщило новые имена героев — участников спецоперации,https://www.1tv.ru/news/2023-01-27/446114-minoborony_rf_soobschilo_novye_imena_geroev_uchastnikov_spetsoperatsii,"И еще о стойкости наших героев. Ефрейтор Матвей Орлов — артиллерист, командир боевой машины. Уничтожил пять боевиков и пикап. И тут же, по полученным с беспилотника данным, накрыл два минометных расчета, выведя из-под удара всю нашу колонну. Подполковник Дмитрий Яковлев доставил боеприпасы на передовую, корректировал огонь артиллерии, руководил обороной. Не дал превосходящим силам противника зайти к нам во фланг. Националисты с большими потерями отступили.","Общество,Вооруженные силы",25.0,0-15,2023-01-27 21:19:00,2023-01-27,2023,2023-01,21,4,False,"['стойкость', 'герой', 'ефрейтор', 'матвей', 'орлов', 'артиллерист', 'командир', 'боевой', 'машина', 'уничтожить', 'пять', 'боевик', 'пикап', 'получить', 'беспилотник', 'данным', 'накрыть', 'два', 'миномётный', 'расчёт', 'вывести', 'удар', 'колонна', 'подполковник', 'дмитрий', 'яковлев', 'доставить', 'боеприпас', 'передовой', 'корректировать', 'огонь', 'артиллерия', 'руководить', 'оборона', 'дать', 'превосходить', 'сила', 'противник', 'зайти', 'фланг', 'националист', 'больший', 'потеря', 'отступить']","['минобороны', 'рф', 'сообщить', 'новый', 'имя', 'герой', 'участник', 'спецоперация']"
12,37,2023-01-27 21:15:00,Общество,На линии фронта в районе Сватово «Терминаторы» уничтожают противника,https://www.1tv.ru/news/2023-01-27/446108-na_linii_fronta_v_rayone_svatovo_terminatory_unichtozhayut_protivnika,"Боевая машина поддержки танков «Терминатор». Почему так назвали, становится понятно по ее огневой мощи. Скорострельность каждой пушки — 13 выстрелов в секунду. Плюс к этому пара гранатометов и ракеты. А передовая система защиты подрывает радио- и магнитные мины вокруг. Броня танковая, боекомплект не там, где экипаж. Дмитрий Кулько расскажет больше. Он встретил «Терминатора» на передовой.","Общество,Регионы,Специальная военная операция на Украине,Вооруженные силы,ЛНР",298.0,0-15,2023-01-27 21:15:00,2023-01-27,2023,2023-01,21,4,False,"['боевой', 'машина', 'поддержка', 'танк', 'терминатор', 'назвать', 'становиться', 'понятный', 'огневой', 'мощь', 'скорострельность', 'каждый', 'пушка', '13', 'выстрел', 'секунда', 'плюс', 'пара', 'гранатомёт', 'ракета', 'передовой', 'система', 'защита', 'подрывать', 'радио-', 'магнитный', 'мина', 'броня', 'танковый', 'боекомплект', 'экипаж', 'дмитрий', 'кулько', 'рассказать', 'встретить', 'терминатор', 'передовой']","['линия', 'фронт', 'район', 'сватово', 'терминатор', 'уничтожать', 'противник']"
13,39,2023-01-27 21:13:00,Общество,В Минобороны РФ сообщили подробности массированного удара по военным объектам Украины и инфраструктуре,https://www.1tv.ru/news/2023-01-27/446115-v_minoborony_rf_soobschili_podrobnosti_massirovannogo_udara_po_voennym_ob_ektam_ukrainy_i_infrastrukture,"Появились подробности массированного удара, который был нанесен накануне по украинским объектам, обеспечивающим вооруженные формирования киевского режима. Эпичное видео из-под Одессы. Местные жители сняли мощнейший взрыв на электроподстанции Сватово. Огромный огненный шар и затем густой черный дым. Эксперты говорят, вероятнее всего было прямое попадание в один из автотрансформаторов. Там таких три. И удар по этому объекту не первый. Сватово — базовая станция по снабжению всей Одесской области. А вот заявление Минобороны. Игорь Конашенков26 января Вооруженными силами Российской Федерации нанесен массированный ракетный удар высокоточным оружием большой дальности воздушного и морского базирования, а также беспилотными летательными аппаратами по объектам системы энергетики, обеспечивавшим функционирование предприятий оборонно-промышленного комплекса и транспортной системы Украины. Цели массированного удара достигнуты.Все назначенные объекты поражены.В результате удара сорваны перевозки вооружений и боеприпасов в районы боевых действий, в том числе поставленных странами НАТО. Нарушена работа производственных мощностей предприятий по ремонту и восстановлению военной техники ВСУ.","Вооруженные силы,Специальная военная операция на Украине,Общество",74.0,0-15,2023-01-27 21:13:00,2023-01-27,2023,2023-01,21,4,False,"['появиться', 'подробность', 'массированный', 'удар', 'нанести', 'украинским', 'объект', 'обеспечивать', 'вооружить', 'формирование', 'киевский', 'режим', 'эпичный', 'видео', 'одесса', 'местный', 'житель', 'снять', 'мощный', 'взрыв', 'электроподстанция', 'сватово', 'огромный', 'огненный', 'шар', 'густой', 'чёрный', 'дым', 'эксперт', 'говорить', 'вероятный', 'прямой', 'попадание', 'автотрансформатор', 'три', 'удар', 'объект', 'первый', 'сватово', 'базовый', 'станция', 'снабжение', 'одесский', 'область', 'заявление', 'минобороны', 'игорь', 'конашенков26', 'январь', 'вооружить', 'сила', 'российский', 'федерация', 'нанести', 'массированный', 'ракетный', 'удар', 'высокоточный', 'оружие', 'большой', 'дальность', 'воздушный', 'морской', 'базирование', 'беспилотный', 'летательный', 'аппарат', 'объект', 'система', 'энергетика', 'обеспечивавшим', 'функционирование', 'предприятие', 'оборонно', 'промышленный', 'комплекс', 'транспортный', 'система', 'украина', 'цель', 'массированный', 'удар', 'достигнуть', 'назначить', 'объект', 'поразить', 'результат', 'удар', 'сорвать', 'перевозка', 'вооружение', 'боеприпас', 'район', 'боевой', 'действие', 'число', 'поставить', 'страна', 'нато', 'нарушить', 'работа', 'производственный', 'мощность', 'предприятие', 'ремонт', 'восстановление', 'военный', 'техника', 'всу']","['минобороны', 'рф', 'сообщить', 'подробность', 'массированный', 'удар', 'военный', 'объект', 'украина', 'инфраструктура']"
14,36,2023-01-27 21:07:00,Общество,В Еврейском музее и центре толерантности в Москве почтили память жертв Холокоста,https://www.1tv.ru/news/2023-01-27/446106-v_evreyskom_muzee_i_tsentre_tolerantnosti_v_moskve_pochtili_pamyat_zhertv_holokosta,"Сегодня День памяти жертв Холокоста. Этим древнегреческим словом (в переводе «всесожжение») в мире называют уничтожение нацистами евреев в годы Второй мировой. Порядка шести миллионов жертв. Миллион из них в Освенциме — это современная Польша — одном из самых страшных «лагерей смерти», уцелевших узников которого Красная Армия спасла в 1945-м, как раз 27 января. Среди живущих сейчас еще есть те, кто все видел. Их знание трагично, но тем ценнее для будущего передать его без искажений. Забытые уроки истории оборачиваются возрождением зла, и свидетельство, подчеркнул Владимир Путин, — преступления неонацистов на Украине. Представителей России на траурные церемония в Освенциме не приглашают уже не первый год. Неудобна, видно, нынешней Европе такая память. Не только об этом лагере. Ольга Князева собрала свидетельства.","Общество,История,Владимир Путин,Берл Лазар,Александр Борода,Виктор Вексельберг,Валентина Матвиенко",374.0,0-15,2023-01-27 21:07:00,2023-01-27,2023,2023-01,21,4,False,"['сегодня', 'день', 'память', 'жертва', 'холокост', 'древнегреческий', 'слово', 'перевод', 'всесожжение', 'мир', 'называть', 'уничтожение', 'нацист', 'еврей', 'год', 'второй', 'мировой', 'порядок', 'шесть', 'миллион', 'жертва', 'миллион', 'освенцим', 'современный', 'польша', 'страшный', 'лагерь', 'смерть', 'уцелеть', 'узник', 'красный', 'армия', 'спасти', '1945-м', 'раз', '27', 'январь', 'жить', 'видеть', 'знание', 'трагичный', 'ценный', 'будущее', 'передать', 'искажение', 'забыть', 'урок', 'история', 'оборачиваться', 'возрождение', 'зло', 'свидетельство', 'подчеркнуть', 'владимир', 'путин', 'преступление', 'неонацист', 'украина', 'представитель', 'россия', 'траурный', 'церемония', 'освенцим', 'приглашать', 'первый', 'год', 'неудобный', 'европа', 'память', 'лагер', 'ольга', 'князев', 'собрать', 'свидетельство']","['еврейский', 'музей', 'центр', 'толерантность', 'москва', 'почтить', 'память', 'жертва', 'холокост']"
